Как называется столица Франции?|Париж
Какой химический элемент обозначается Fe?|Железо
Кто написал "Война и мир"?|Толстой
Как называется самый большой океан?|Тихий
Сколько планет в Солнечной системе?|8
Какой газ является основным компонентом воздуха?|Азот
Кто изобрел телефон?|Белл
Как называется столица Австралии?|Канберра
Какой металл является самым легким?|Литий
Кто был первым президентом США?|Вашингтон
Как называется самая длинная река в мире?|Амазонка
Сколько цветов в радуге?|7
Какой элемент обозначается символом O?|Кислород
Кто написал "Гамлет"?|Шекспир
Как называется столица Японии?|Токио
Какой континент самый маленький по площади?|Австралия
Сколько костей в теле человека?|206
Как называется столица Бразилии?|Бразилиа
Какой газ вызывает пар|Гелий
Кто открыл Америку?|Колумб
Как называется самая высокая гора?|Эверест
Сколько дней в високосном году?|366
Какой океан находится между Америкой и Европой?|Атлантический
Кто написал "Преступление и наказание"?|Достоевский
Как называется столица Канады?|Оттава
Какой химический элемент обозначается Hg?|Ртуть
Сколько минут в часе?|60
Как называется самая большая пустыня?|Сахара
Кто изобрел электрическую лампочку?|Эдисон
Как называется столица Италии?|Рим
Какой газ используют для накачивания воздушных шаров?|Гелий
Сколько сторон у треугольника?|3
Как называется самая маленькая планета?|Меркурий
Кто написал "Гарри Поттер"?|Роулинг
Как называется столица Китая?|Пекин
Какой элемент обозначается символом H?|Водород
Сколько секунд в минуте?|60
Как называется самая большая страна по площади?|Россия
Кто был первым человеком в космосе?|Гагарин
Как называется столица Испании?|Мадрид
Какой газ выделяется при дыхании?|Углекислый
Сколько углов у квадрата?|4
Как называется самая длинная река в Европе?|Волга
Кто написал "Ромео и Джульетта"?|Шекспир
Как называется столица Германии?|Берлин
Какой химический элемент обозначается Au?|Золото
Сколько недель в году?|52
Как называется самый холодный континент?|Антарктида
Кто изобрел паровой двигатель?|Уатт
19-го числа какого месяца празднуется Международный мужской день, не слишком известный в России: июля или ноября?|Ноября
Автором какого музыкального произведения является Сергей Прокофьев: "Шествие кузнечиков" или "Марш солдатиков"?|Шествие кузнечиков
Архитектурные памятники и сооружения какого города изображены на купюре достоинством 10 рублей?|Красноярск
Благодаря произведенной пересадке какого органа от человека к человеку в 1967 году прославился хирург Кристиан Барнард?|Сердца
Близ какого египетского города в 1799 году был найден камень, позволивший ученым расшифровать древние иероглифы?|Розетт
Брифинг или пресс-конференция обычно содержит презентационную часть?|Пресс-конференция
В день какой великомученицы был учрежден в 1775 г. МГУ?|Татьяны
В какое море впадает река Урал?|Каспийское
В какой вид спорта американцы играют на поле под названием "гридирон"?|Американский футбол
В какой город из Екатеринбурга ежедневно отправляется поезд "Демидовский экспресс"?|Санкт-Петербург
В какой китайской игре, широко известной и в других странах мира, используются 144 кости?|Маджонг
В какой опере Вы сможете услышать арию варяжского гостя: "Борис Годунов" или "Садко"?|Садко
В какой стране жил открыватель пенициллина Александр Флеминг?|Великобритания
В какой стране проживает народ, одно из названий которого - лужицкие сербы?|Германия
В какой стране родился популярный певец Хулио Иглесиас: в Италии или в Испании?|В Испании
В каком австрийском городе находится штаб-квартира Организации стран-экспортеров нефти?|В Вене
В каком виде борьбы выступал Александр Карелин?|Греко-римская
В каком виде спорта добился успеха Марат Сафин?|Теннис
В каком виде спорта разыгрывают кубок Стэнли?|Хоккей
В каком водоеме жила черепаха Тортила?|В пруду
В каком возрасте, согласно иудейским обычаям, мальчики становятся совершеннолетними?|13 лет
В каком городе были проведены летние Олимпийские игры 2008 года?|Пекин
В каком городе заседает Парламентская ассамблея Совета Европы?|В Страсбурге
В каком городе мира проходит самый грандиозный и красочный карнавал?|Рио-де-Жанейро
В каком городе находится музыкальный театр "Метрополитен-опера"?|Нью-Йорк
В каком городе проходил международный судебный процесс над преступниками 2-й Мировой Войны?|Нюрнберг
В каком городе проходили летние Олимпийские игры 1936 года?|В Берлине
В каком городе родился Людвиг ван Бетховен?|Бонн
В каком море в августе 2000 года затонула подводная лодка "Курск"?|В Баренцевом
В каком музее находится картина Рафаэля "Сикстинская мадонна"?|В Дрезденской галерее
В каком музыкальном направлении прославились Элла Фицджеральд и Билли Холидей: джаз или кантри?|Джаз
В каком фильме снимался актер Гоша Куценко: "Бумер" или "Антикиллер"?|Антикиллер
В какую степень необходимо возвести число 3, чтобы получить 81?|В 4-ю
В какую страну вы отправитесь, если захотите посетить музей-галерею Боргезе?|В Италию
В какую страну необходимо отправиться, чтобы посетить Крыжополь?|Украина
В оттенки какого цвета окрашена военная форма?|Хаки
В произведении Александра Дюма-отца или Александра Дюма-сына был персонаж Альфонс?|Александра Дюма-отца
В процессе написания какого произведения А. С. Пушкин похвалил самого себя: "Ай да Пушкин! Ай да сукин сын!"?|Борис Годунов
В состав какой группы входит бас-гитарист Александр Кутиков?|Машина времени
В честь какого древнеримского бога подземного царства была названа планета, открытая Клайдом Томбо в 1930 году?|Плутона
Валютой какой страны до перехода на евро был эскудо?|Португалии
Ветвь какого дерева стала символом и призом Каннского кинофестиваля?|Пальма
Вирус какого заболевания иначе называют инфлюенца?|Грипп
Во сколько лет Иван Грозный стал царем: в 16 или 18?|16
Во сколько раз минимальная из ныне существующих российских банкнот меньше максимальной?|1000
Где первоначально предполагалось возведение телевизионной башни в Москве, позже построенной в Останкино?|Воробьевы горы
Герб какого итальянского города изображен на эмблеме автомобилей "Альфа-Ромео"?|Милан
Героем какой кинокомедии Эльдара Рязанова был Юрий Деточкин?|Берегись автомобиля
Героиню какого из диснеевских мультфильмов звали Аврора?|Спящая красавица
Годом какого животного по китайскому гороскопу являлся 2014-й год?|Лошади
Дед какого известного российского актера и певца был священником-обновленцем и в 1937 году был расстрелян?|Боярского
Денежной единицей Белоруссии является рубль или гривна?|Рубль
До какого возраста включительно дворянских детей в XVIII-XIX вв. называли "недорослями"?|15
Если ваши гости съели 3/5 торта, сколько процентов от него осталось?|40
Если вы со своей супругой празднуете ситцевую свадьбу, сколько лет вы прожили вместе?|Один год
Если один из углов треугольника равен 90 градусам, а другой - 45, сколько градусов составляет величина третьего угла?|45 градусов
Жаргонное название какого католического ордена звучит как "госпитальеры"?|Мальтийского
За какое произведение Эрнест Хемингуэй получил Пулитцеровскую премию в 1953 году?|Старик и море
Закончите китайскую поговорку "Обычные люди управляют…".|Обычными делами
Закончите последнюю строчку басни Ивана Крылова "Ты все пела, это - дело...".|Так пойди же попляши
Игроков в "Что? Где? Когда?" называют знатоки или гроссмейстеры?|Знатоки
Из какого злака изготавливается японский напиток сакэ?|Из риса
